date,rainfall_mm
1,19.700
2,13.300
3,9.500
4,2.800
5,25.500
6,26.500
7,13.100
8,10.300
9,0.400
10,9.600
11,0.100
12,7.200
13,7.100
14,6.600
15,8.700
16,2.900
17,7.400
18,12.300
19,0.300
20,0.100
21,9.000
22,16.100
23,2.800
24,4.000
25,13.300
26,15.800
27,10.500
28,3.700
29,0.100
30,0.000
31,16.200
32,31.100
33,1.500
34,4.100
35,7.600
36,20.500
37,1.400
38,19.000
39,32.400
40,3.200
41,4.800
42,1.600
43,35.000
44,9.400
45,23.800
46,9.500
47,0.100
48,7.900
49,8.200
50,7.100
51,7.200
52,15.700
53,19.700
54,48.600
55,6.300
56,8.000
57,28.900
58,2.400
59,0.500
60,10.100
61,10.400
62,0.100
63,0.000
64,0.100
65,33.200
66,0.200
67,0.000
68,1.900
69,0.000
70,0.000
71,0.000
72,0.000
73,0.200
74,0.000
75,0.200
76,4.100
77,10.400
78,0.100
79,19.500
80,14.500
81,6.000
82,0.400
83,2.200
84,2.000
85,1.400
86,6.300
87,1.900
88,0.000
89,0.000
90,10.800
91,0.100
92,2.300
93,3.900
94,0.000
95,9.200
96,8.300
97,11.000
98,4.800
99,0.100
100,1.500
101,0.100
102,0.700
103,1.100
104,0.000
105,0.000
106,0.400
107,0.100
108,0.000
109,0.000
110,0.000
111,1.300
112,6.900
113,1.800
114,0.200
115,10.200
116,0.400
117,1.600
118,0.000
119,0.100
120,6.000
121,0.100
122,0.000
123,0.900
124,0.000
125,4.800
126,6.100
127,12.500
128,9.800
129,13.100
130,4.800
131,9.500
132,2.100
133,1.600
134,1.300
135,0.000
136,0.000
137,0.000
138,0.000
139,1.100
140,11.200
141,0.100
142,1.400
143,2.200
144,4.400
145,12.000
146,0.300
147,0.000
148,8.500
149,0.000
150,0.000
151,0.000
152,1.800
153,0.200
154,0.000
155,7.600
156,0.100
157,0.000
158,9.500
159,0.200
160,7.500
161,1.800
162,0.000
163,0.000
164,0.700
165,0.100
166,0.000
167,0.000
168,0.000
169,0.000
170,0.000
171,0.000
172,0.000
173,0.000
174,0.000
175,0.000
176,0.900
177,0.000
178,0.000
179,0.200
180,0.000
181,0.000
182,0.000
183,3.700
184,5.600
185,12.100
186,0.000
187,3.000
188,3.500
189,0.000
190,0.000
191,0.000
192,0.000
193,3.900
194,0.000
195,8.300
196,0.000
197,12.300
198,0.000
199,2.700
200,3.100
201,0.000
202,0.000
203,0.000
204,0.000
205,0.000
206,0.000
207,6.300
208,0.600
209,0.100
210,0.800
211,6.200
212,1.300
213,10.100
214,16.600
215,11.200
216,0.000
217,22.000
218,0.600
219,0.000
220,0.700
221,5.300
222,33.000
223,10.200
224,21.400
225,0.800
226,7.600
227,0.700
228,11.200
229,7.200
230,1.800
231,0.000
232,2.800
233,6.900
234,1.500
235,0.000
236,0.100
237,0.000
238,0.000
239,1.700
240,24.800
241,2.600
242,0.000
243,3.100
244,0.000
245,0.000
246,0.000
247,0.000
248,2.300
249,0.000
250,0.000
251,0.000
252,0.000
253,0.000
254,0.000
255,0.000
256,0.000
257,0.000
258,0.000
259,0.000
260,0.000
261,0.000
262,0.000
263,0.000
264,0.000
265,0.000
266,9.100
267,0.300
268,3.900
269,0.100
270,0.000
271,0.000
272,0.000
273,1.000
274,2.300
275,0.100
276,68.500
277,2.800
278,28.100
279,5.000
280,8.300
281,21.700
282,10.500
283,12.900
284,0.200
285,0.000
286,0.000
287,0.000
288,6.000
289,6.800
290,21.000
291,21.900
292,16.700
293,23.300
294,0.800
295,0.700
296,8.700
297,3.200
298,3.400
299,18.200
300,10.000
301,22.800
302,3.500
303,1.600
304,7.700
305,18.800
306,14.000
307,11.000
308,15.100
309,0.100
310,20.900
311,4.500
312,9.500
313,0.200
314,4.600
315,10.500
316,4.800
317,10.800
318,12.000
319,0.100
320,2.900
321,0.500
322,0.000
323,0.500
324,0.300
325,5.500
326,3.900
327,0.000
328,0.000
329,1.400
330,0.900
331,0.200
332,0.000
333,0.600
334,0.000
335,1.200
336,0.000
337,0.100
338,0.200
339,1.000
340,27.600
341,9.400
342,1.100
343,29.700
344,7.300
345,1.700
346,3.700
347,10.200
348,14.400
349,4.200
350,9.000
351,8.200
352,13.700
353,8.200
354,1.800
355,32.700
356,28.000
357,18.100
358,4.800
359,1.700
360,2.700
361,0.100
362,0.000
363,0.100
364,0.000
365,12.300
366,41.600
367,3.900
368,1.400
369,0.100
370,5.100
371,4.400
372,31.600
373,11.700
374,33.100
375,6.900
376,27.400
377,4.500
378,0.800
379,28.600
380,16.400
381,7.200
382,4.100
383,1.600
384,0.500
385,0.000
386,0.200
387,0.200
388,15.000
389,0.100
390,15.900
391,4.200
392,20.000
393,13.800
394,4.700
395,2.800
396,0.000
397,0.000
398,0.000
399,0.000
400,0.000
401,0.100
402,0.000
403,0.000
404,0.000
405,0.100
406,0.000
407,1.800
408,0.300
409,7.100
410,0.000
411,4.100
412,0.400
413,0.100
414,7.800
415,4.100
416,1.500
417,3.900
418,14.800
419,15.800
420,12.600
421,23.500
422,0.300
423,4.100
424,10.000
425,2.300
426,3.400
427,2.900
428,0.000
429,0.100
430,6.400
431,10.200
432,0.000
433,8.800
434,0.000
435,10.500
436,32.000
437,0.000
438,0.000
439,0.100
440,0.100
441,0.000
442,0.000
443,0.000
444,0.200
445,0.000
446,1.500
447,0.500
448,0.100
449,5.100
450,0.500
451,8.400
452,16.600
453,4.400
454,20.200
455,9.700
456,5.900
457,1.700
458,2.000
459,0.000
460,0.200
461,0.000
462,0.000
463,0.000
464,0.000
465,7.500
466,5.600
467,12.900
468,0.000
469,3.100
470,0.700
471,0.000
472,0.000
473,0.000
474,0.900
475,0.000
476,0.000
477,0.000
478,0.000
479,4.500
480,0.700
481,0.000
482,10.400
483,18.700
484,10.900
485,0.700
486,0.000
487,14.100
488,7.700
489,12.400
490,17.900
491,3.900
492,0.000
493,29.500
494,0.300
495,16.400
496,8.600
497,2.300
498,0.000
499,0.000
500,6.100
501,0.000
502,15.200
503,6.900
504,2.700
505,0.000
506,1.200
507,0.800
508,1.500
509,0.100
510,0.000
511,0.000
512,15.000
513,4.400
514,5.100
515,5.000
516,3.500
517,28.800
518,2.000
519,0.000
520,0.000
521,0.300
522,0.400
523,0.100
524,0.000
525,0.000
526,0.000
527,0.000
528,0.000
529,1.300
530,0.300
531,0.000
532,6.900
533,1.300
534,0.100
535,1.700
536,1.100
537,6.600
538,0.200
539,0.000
540,0.000
541,2.200
542,0.100
543,3.200
544,0.500
545,0.000
546,0.000
547,3.100
548,0.200
549,9.400
550,0.300
551,3.700
552,5.700
553,8.500
554,3.000
555,0.200
556,2.500
557,9.400
558,3.800
559,1.800
560,0.000
561,0.000
562,13.700
563,0.000
564,19.400
565,0.900
566,3.600
567,2.100
568,0.700
569,0.200
570,0.000
571,0.000
572,8.000
573,18.600
574,8.400
575,1.200
576,1.300
577,13.900
578,1.300
579,2.400
580,9.100
581,10.300
582,4.200
583,0.100
584,0.000
585,0.100
586,0.800
587,1.500
588,0.000
589,0.000
590,23.800
591,8.000
592,0.100
593,0.000
594,0.000
595,2.000
596,1.800
597,3.200
598,2.600
599,19.100
600,11.700
601,0.000
602,13.900
603,7.800
604,12.800
605,17.000
606,1.200
607,0.000
608,0.000
609,0.600
610,0.200
611,0.000
612,0.800
613,0.000
614,0.100
615,0.100
616,0.000
617,0.000
618,0.000
619,13.300
620,8.000
621,0.000
622,2.200
623,0.300
624,0.000
625,11.000
626,0.000
627,0.000
628,1.500
629,0.900
630,0.000
631,3.500
632,4.900
633,0.100
634,0.000
635,0.000
636,0.000
637,0.000
638,0.000
639,0.000
640,0.200
641,0.000
642,0.300
643,15.900
644,1.500
645,0.000
646,0.100
647,0.000
648,0.000
649,1.200
650,0.200
651,0.000
652,0.000
653,0.000
654,0.100
655,0.000
656,0.000
657,1.600
658,11.500
659,0.800
660,0.000
661,8.400
662,4.100
663,0.100
664,0.000
665,6.200
666,12.500
667,5.300
668,5.200
669,2.300
670,0.100
671,0.100
672,5.200
673,0.300
674,7.600
675,7.400
676,11.800
677,46.500
678,26.500
679,26.800
680,11.900
681,26.100
682,6.200
683,69.700
684,28.300
685,0.800
686,20.900
687,22.100
688,3.200
689,5.400
690,1.500
691,0.000
692,8.600
693,8.600
694,0.400
695,3.700
696,17.700
697,26.200
698,6.500
699,14.500
700,8.500
701,9.500
702,36.900
703,91.500
704,144.400
705,1.200
706,9.100
707,18.800
708,47.000
709,7.300
710,2.800
711,17.500
712,2.100
713,0.300
714,4.800
715,3.400
716,9.000
717,21.000
718,29.700
719,30.000
720,48.700
721,12.100
722,23.700
723,5.100
724,29.700
725,32.500
726,0.800
727,9.100
728,40.100
729,16.100
730,16.100
